book_id,title,author,author_death_year,author_death_year_disputed,publication_year,source,source_url,language,notes
divine-comedy-longfellow-s-translation-hell__dante-alighieri__unk,"Divine Comedy, Longfellow's Translation, Hell",Dante Alighieri,1321,false,,gutenberg,https://www.gutenberg.org/ebooks/1001,en,"classical/ancient work (author died before 1400) -- original composition predates reliable publication-year records, not looked up automatically; needs manual research"
childe-harold-s-pilgrimage__byron-george-gordon-byron-baron__1800,Childe Harold's Pilgrimage,"Byron, George Gordon Byron, Baron",1824,false,1800,gutenberg,https://www.gutenberg.org/ebooks/5131,en,publication year via Open Library (earliest edition found; not independently verified)
the-adventures-of-pinocchio__collodi-carlo__1892,The Adventures of Pinocchio,"Collodi, Carlo",1890,false,1892,gutenberg,https://www.gutenberg.org/ebooks/500,en,publication year via Open Library (earliest edition found; not independently verified)
the-picture-of-dorian-gray__wilde-oscar__1890,The Picture of Dorian Gray,"Wilde, Oscar",1900,false,1890,gutenberg,https://www.gutenberg.org/ebooks/174,en,publication year via Open Library (earliest edition found; not independently verified)
three-hundred-aesops-fables-translated-by-george-fyler-townsend__aesop__2018,Three hundred Aesop’s fables: Translated by George Fyler Townsend,Aesop,,false,2018,gutenberg,https://www.gutenberg.org/ebooks/21,en,publication year via Open Library (earliest edition found; not independently verified); author death year unknown (Gutendex has no record)
just-around-the-corner-romance-en-casserole__hurst-fannie__unk,Just Around the Corner: Romance en casserole,"Hurst, Fannie",1968,false,,gutenberg,https://www.gutenberg.org/ebooks/33118,en,publication year not found via Open Library; needs manual research
up-from-slavery-an-autobiography__washington-booker-t__unk,Up from Slavery: An Autobiography,"Washington, Booker T.",1915,false,,gutenberg,https://www.gutenberg.org/ebooks/2376,en,"Open Library match discarded: returned 1966, which is more than 5 years after author's death (1915) -- likely an indexed reprint rather than the original edition; needs manual research"
vanity-fair__thackeray-william-makepeace__unk,Vanity Fair,"Thackeray, William Makepeace",1863,false,,gutenberg,https://www.gutenberg.org/ebooks/599,en,"Open Library match discarded: returned 1800, which predates author's birth year (1811) -- likely a mismatched search result; needs manual research"
the-wheel-of-earth__sandburg-helga__1958,The wheel of earth,"Sandburg, Helga",2014,false,1958,gutenberg,https://www.gutenberg.org/ebooks/78102,en,publication year via Open Library (earliest edition found; not independently verified)
the-awakening-and-selected-short-stories__chopin-kate__unk,"The Awakening, and Selected Short Stories","Chopin, Kate",1904,false,,gutenberg,https://www.gutenberg.org/ebooks/160,en,"Open Library match discarded: returned 2003, which is more than 5 years after author's death (1904) -- likely an indexed reprint rather than the original edition; needs manual research"
the-portrait-of-a-lady-volume-1__james-henry__1921,The Portrait of a Lady — Volume 1,"James, Henry",1916,false,1921,gutenberg,https://www.gutenberg.org/ebooks/2833,en,publication year via Open Library (earliest edition found; not independently verified)
the-pickwick-papers__dickens-charles__unk,The Pickwick Papers,"Dickens, Charles",1870,false,,gutenberg,https://www.gutenberg.org/ebooks/580,en,"Open Library match discarded: returned 1800, which predates author's birth year (1812) -- likely a mismatched search result; needs manual research"
the-journals-of-lewis-and-clark-1804-1806__lewis-meriwether__unk,"The Journals of Lewis and Clark, 1804-1806","Lewis, Meriwether",1809,false,,gutenberg,https://www.gutenberg.org/ebooks/8419,en,"Open Library match discarded: returned 1904, which is more than 5 years after author's death (1809) -- likely an indexed reprint rather than the original edition; needs manual research; 1 additional co-author(s) not recorded, primary author only"
nicholas-nickleby__dickens-charles__unk,Nicholas Nickleby,"Dickens, Charles",1870,false,,gutenberg,https://www.gutenberg.org/ebooks/967,en,"Open Library match discarded: returned 1800, which predates author's birth year (1812) -- likely a mismatched search result; needs manual research"
hesiod-the-homeric-hymns-and-homerica__hesiod__1914,"Hesiod, the Homeric Hymns, and Homerica",Hesiod,,false,1914,gutenberg,https://www.gutenberg.org/ebooks/348,en,publication year via Open Library (earliest edition found; not independently verified); author death year unknown (Gutendex has no record)
