book_id,country_of_first_publication,simultaneous_us_publication,is_anonymous_pseudonymous_or_corporate,had_copyright_notice_at_publication,renewal_filed,creation_year,source,notes
tomorrow-will-be-better__smith-betty__1948,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R625217, renewed 1976, class C)"
the-golden-hawk__yerby-frank__1948,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R608800, renewed 1975, class A)"
the-egyptian__waltari-mika__1949,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R645819, renewed 1976, class PWH)"
mary__asch-sholem__1949,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R643498, renewed 1976, class C)"
a-rage-to-live__o-hara-john__1949,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R640771, renewed 1976, class C)"
point-of-no-return__marquand-john-p__1949,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R639912, renewed 1976, class C)"
the-cardinal__robinson-henry-morton__1950,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE004115, renewed 1978, class C)"
joy-street__keyes-frances-parkinson__1950,,,,,false,,stanford-copyright-renewal-db,no renewal found in Stanford CRD (author renews other works there)
across-the-river-and-into-the-trees__hemingway-ernest__1950,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R672170, renewed 1977, class W)"
the-wall__hersey-john__1950,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R655028, renewed 1977, class A)"
star-money__winsor-kathleen__1950,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE002340, renewed 1978, class A)"
the-parasites__maurier-daphne-du__1950,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R664777, renewed 1977, class A)"
from-here-to-eternity__jones-james__1951,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE019781, renewed 1979, class C)"
the-caine-mutiny__wouk-herman__1951,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE018386, renewed 1979, class A)"
moses__asch-sholem__1951,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE021042, renewed 1979, class PWH)"
