book_id,title,author,author_death_year,author_death_year_disputed,publication_year,source,source_url,language,notes
persuasion__austen-jane__1789,Persuasion,"Austen, Jane",,false,1789,openlibrary,https://openlibrary.org/works/OL66544W,en,pd_basis=pub_year<=1930
the-great-gatsby__fitzgerald-f-scott__1920,The Great Gatsby,"Fitzgerald, F. Scott",,false,1920,openlibrary,https://openlibrary.org/works/OL468431W,en,pd_basis=pub_year<=1930
jane-eyre__bronte-charlotte__1847,Jane Eyre,"Brontë, Charlotte",,false,1847,openlibrary,https://openlibrary.org/works/OL1095427W,en,pd_basis=pub_year<=1930
the-time-machine__wells-h-g__1895,The Time Machine,"Wells, H. G.",,false,1895,openlibrary,https://openlibrary.org/works/OL52267W,en,pd_basis=pub_year<=1930
walden__thoreau-henry-david__1854,Walden,"Thoreau, Henry David",,false,1854,openlibrary,https://openlibrary.org/works/OL55649W,en,pd_basis=pub_year<=1930
three-men-in-a-boat-to-say-nothing-of-the-dog__jerome-jerome-klapka__1889,Three Men in a Boat (to say nothing of the dog),"Jérôme, Jerome Klapka",,false,1889,openlibrary,https://openlibrary.org/works/OL1793164W,en,pd_basis=pub_year<=1930
the-adventures-of-sherlock-holmes-12-stories__doyle-arthur-conan__1892,The Adventures of Sherlock Holmes [12 stories],"Doyle, Arthur Conan",,false,1892,openlibrary,https://openlibrary.org/works/OL262421W,en,pd_basis=pub_year<=1930
the-taming-of-the-shrew__shakespeare-william__1631,The Taming of the Shrew,"Shakespeare, William",,false,1631,openlibrary,https://openlibrary.org/works/OL362690W,en,pd_basis=pub_year<=1930
moby-dick__melville-herman__1851,Moby Dick,"Melville, Herman",,false,1851,openlibrary,https://openlibrary.org/works/OL102749W,en,pd_basis=pub_year<=1930
moll-flanders__defoe-daniel__1722,Moll Flanders,"Defoe, Daniel",,false,1722,openlibrary,https://openlibrary.org/works/OL45139W,en,pd_basis=pub_year<=1930
mansfield-park__austen-jane__1814,Mansfield Park,"Austen, Jane",,false,1814,openlibrary,https://openlibrary.org/works/OL66530W,en,pd_basis=pub_year<=1930
king-solomons-mines__haggard-h-rider__1876,King Solomon's Mines,"Haggard, H. Rider",,false,1876,openlibrary,https://openlibrary.org/works/OL17448W,en,pd_basis=pub_year<=1930
